French,English
partie,part
histoire,history
chercher,search
seulement,only
aide,help
demande,request
laisser,let
aucun,no
eux,them
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
vont,will
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
demandé,request
mis,placed
belle,beautiful
mari,husband
cause,cause
enfin,finally
espère,hope
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
gros,large
jouer,to play
bureau,office
